timestamp,city,station,pm25,pm25_unit,pm10,pm10_unit,no2,so2,co,o3,temp_c,rh_pct,wind_kmh
2023-03-10 12:00:00,Delhi,Anand Vihar,,ug/m3,,ug/m3,,,,,20.1,55.0,11.6
2023-08-12 12:00:00,Delhi,Anand Vihar,32.7,ug/m3,69.6,ug/m3,20.6,11.3,0.79,30.4,38.7,28.0,
2023-10-13 11:00:00,Delhi,Anand Vihar,121.6,ug/m3,172.8,ug/m3,37.0,9.0,1.54,25.0,24.8,48.0,4.4
2023-11-13 15:00:00,Delhi,Anand Vihar,355.5,ug/m3,650.6,ug/m3,24.2,12.9,1.37,32.1,20.5,45.0,3.5
2023-05-03 02:00:00,Delhi,Anand Vihar,69.1,ug/m3,109.5,ug/m3,26.5,15.8,1.43,14.9,25.2,62.0,9.5
2023-11-18 12:00:00,Delhi,Anand Vihar,182.0,ug/m3,296.2,ug/m3,26.1,10.3,1.3,24.3,17.0,47.0,4.6
2023-04-14 08:00:00,Delhi,Anand Vihar,105.8,ug/m3,160.9,ug/m3,54.6,10.6,1.93,31.3,22.2,58.0,
2023-08-26 05:00:00,Delhi,Anand Vihar,56.7,ug/m3,123.4,ug/m3,18.8,9.5,0.73,11.1,28.6,48.0,10.7
2023-02-09 02:00:00,Delhi,Anand Vihar,133.4,ug/m3,223.4,ug/m3,24.4,11.1,1.23,8.3,7.1,96.0,9.6
2023-02-16 09:00:00,Delhi,Anand Vihar,208.4,ug/m3,336.0,ug/m3,46.0,12.0,2.1,21.7,9.7,70.0,11.6
2023-10-13 15:00:00,Delhi,Anand Vihar,89.4,ug/m3,121.1,ug/m3,24.4,16.3,0.7,92.4,30.1,35.0,9.3
2023-04-18 10:00:00,Delhi,Anand Vihar,56.7,ug/m3,80.3,ug/m3,29.8,,2.11,31.1,26.0,58.0,7.8
2023-08-11 00:00:00,Delhi,Anand Vihar,40.3,ug/m3,81.8,ug/m3,22.1,10.8,1.12,12.9,31.0,46.0,11.8
